n,seed,model,arm,test_mae,n_params,secs
50,1,cgcnn,structure,1.7168123722076416,98049.0,8.371822834014893
50,1,alignn_small,structure,2.0032594203948975,140417.0,50.50908589363098
50,2,mean_baseline,composition,2.0993326813785873,,0.00044798851013183594
50,2,random_forest,composition,1.5300159800290802,,0.499500036239624
50,2,xgboost,composition,1.4687821872962643,,0.33488988876342773
50,2,cgcnn,structure,1.7703626155853271,98049.0,20.402480840682983
50,2,alignn_small,structure,1.58382248878479,140417.0,174.21427702903748
50,3,mean_baseline,composition,2.10037179025821,,0.00197601318359375
50,3,random_forest,composition,1.74691970487367,,0.47169995307922363
50,3,xgboost,composition,1.8297492632503831,,0.3212721347808838
50,3,cgcnn,structure,2.102015733718872,98049.0,5.284852027893066
50,3,alignn_small,structure,2.110154151916504,140417.0,40.68507218360901
50,4,mean_baseline,composition,2.097324681461749,,0.00040411949157714844
50,4,random_forest,composition,1.6321983987016226,,0.461489200592041
50,4,xgboost,composition,1.4192545364540725,,0.32206082344055176
50,4,cgcnn,structure,2.1027657985687256,98049.0,5.537003040313721
50,4,alignn_small,structure,2.11476469039917,140417.0,50.21197485923767
100,0,mean_baseline,composition,2.1091796016131212,,0.0004811286926269531
100,0,random_forest,composition,1.3846658209513378,,0.5278217792510986
100,0,xgboost,composition,1.3990735926607993,,0.35588788986206055
100,0,cgcnn,structure,2.0990941524505615,98049.0,13.35438323020935
100,0,alignn_small,structure,2.109515428543091,140417.0,73.6783881187439
100,1,mean_baseline,composition,2.1100146201344967,,0.0009698867797851562
100,1,random_forest,composition,1.440255524813512,,0.3269069194793701
100,1,xgboost,composition,1.4159251762316993,,0.25708508491516113
100,1,cgcnn,structure,2.059985876083374,98049.0,26.74275302886963
100,1,alignn_small,structure,2.1039371490478516,140417.0,44.697988986968994
100,2,mean_baseline,composition,2.1083987103118624,,0.0010600090026855469
100,2,random_forest,composition,1.377320666494911,,0.3287012577056885
100,2,xgboost,composition,1.2956942286314965,,0.25559401512145996
100,2,cgcnn,structure,1.6383417844772339,98049.0,14.392792224884033
100,2,alignn_small,structure,2.1189517974853516,140417.0,55.44787311553955
100,3,mean_baseline,composition,2.1028272377971455,,0.0009851455688476562
100,3,random_forest,composition,1.403659786690194,,0.32669496536254883
100,3,xgboost,composition,1.3507491806451222,,0.2534801959991455
100,3,cgcnn,structure,1.5963948965072632,98049.0,26.517770051956177
100,3,alignn_small,structure,1.416917324066162,140417.0,154.69422006607056
100,4,mean_baseline,composition,2.096046025744938,,0.0010528564453125
100,4,random_forest,composition,1.3332445934454145,,0.33370184898376465
100,4,xgboost,composition,1.078014238977606,,0.26375699043273926
100,4,cgcnn,structure,1.6610311269760132,98049.0,15.058210849761963
100,4,alignn_small,structure,1.6734342575073242,140417.0,114.36275291442871
150,0,mean_baseline,composition,2.1060321434701046,,0.0009620189666748047
150,0,random_forest,composition,1.1015498163705812,,0.377636194229126
150,0,xgboost,composition,0.9241352059478666,,0.2791292667388916
150,0,cgcnn,structure,1.5821737051010132,98049.0,18.391417980194092
150,0,alignn_small,structure,1.7679649591445923,140417.0,144.30337190628052
150,1,mean_baseline,composition,2.0980271951928233,,0.0009531974792480469
150,1,random_forest,composition,1.2681703149382295,,0.37757205963134766
150,1,xgboost,composition,1.2171143959558692,,0.2617311477661133
150,1,cgcnn,structure,1.6494003534317017,98049.0,23.246419191360474
150,1,alignn_small,structure,1.8684495687484741,140417.0,173.95000100135803
150,2,mean_baseline,composition,2.103759327397463,,0.0009500980377197266
150,2,random_forest,composition,1.2499402203925063,,0.3639078140258789
150,2,xgboost,composition,1.1063821212704588,,0.2664527893066406
150,2,cgcnn,structure,1.9848806858062744,98049.0,15.40897512435913
150,2,alignn_small,structure,1.6184478998184204,140417.0,127.80295491218567
150,3,mean_baseline,composition,2.096046025744938,,0.0009338855743408203
150,3,random_forest,composition,1.360507622322741,,0.3961920738220215
150,3,xgboost,composition,1.146825755660082,,0.2756316661834717
150,3,cgcnn,structure,1.6884522438049316,98049.0,22.705442905426025
150,3,alignn_small,structure,1.5524170398712158,140417.0,188.388818025589
150,4,mean_baseline,composition,2.0960460257449376,,0.0009109973907470703
150,4,random_forest,composition,1.2267187422392714,,0.3937857151031494
150,4,xgboost,composition,0.9993543256331989,,0.2888801097869873
150,4,cgcnn,structure,1.4781653881072998,98049.0,56.63659477233887
150,4,alignn_small,structure,1.6135919094085693,140417.0,182.10868096351624
200,0,mean_baseline,composition,2.0994583083808855,,0.0009870529174804688
200,0,random_forest,composition,1.0698372100934428,,0.4515810012817383
200,0,xgboost,composition,0.951670049337738,,0.3055281639099121
200,0,cgcnn,structure,1.6831413507461548,98049.0,24.022406101226807
200,0,alignn_small,structure,1.5841906070709229,140417.0,384.24824023246765
200,1,mean_baseline,composition,2.0960460257449376,,0.001065969467163086
200,1,random_forest,composition,1.1564628316624057,,0.46428513526916504
200,1,xgboost,composition,1.0496659786780507,,0.31282830238342285
200,1,cgcnn,structure,1.9285566806793213,98049.0,31.382946968078613
200,1,alignn_small,structure,1.6163960695266724,140417.0,561.69602394104
200,2,mean_baseline,composition,2.0979167439074207,,0.0013031959533691406
200,2,random_forest,composition,1.105181270473779,,0.5018041133880615
200,2,xgboost,composition,1.0218799418010496,,0.304293155670166
200,2,cgcnn,structure,1.5496490001678467,98049.0,40.42211675643921
200,2,alignn_small,structure,1.3364309072494507,140417.0,221.00426697731018
200,3,mean_baseline,composition,2.0960460257449376,,0.0010519027709960938
200,3,random_forest,composition,1.095786395037479,,0.4623880386352539
200,3,xgboost,composition,0.9339099982586561,,0.304948091506958
200,3,cgcnn,structure,1.5069563388824463,98049.0,36.43446397781372
200,3,alignn_small,structure,1.7197179794311523,140417.0,237.59164381027222
200,4,mean_baseline,composition,2.0965528539570895,,0.0009922981262207031
200,4,random_forest,composition,1.1264195704238877,,0.46777892112731934
200,4,xgboost,composition,1.01968108701792,,0.3175802230834961
200,4,cgcnn,structure,1.5156980752944946,98049.0,28.528699159622192
200,4,alignn_small,structure,1.361098289489746,140417.0,320.3184850215912
